Variable,FeatureOrMeta,SubgroupAnalysis,FeatureCategory
"Minimum cGlu within current admission, mmol/L",Feature,No,Laboratory tests
"Mean cGlu within current admission, mmol/L",Feature,No,Laboratory tests
"Median cGlu within current admission, mmol/L",Feature,No,Laboratory tests
SD of cGlu within current admission,Feature,No,Laboratory tests
Had cGlu within current admission (Yes/No),Feature,No,Laboratory tests
Number of cHCO3(P within current admission,Feature,No,Laboratory tests
"Maximum cHCO3(P within current admission,st)c",Feature,No,Laboratory tests
"Minimum cHCO3(P within current admission,st)c",Feature,No,Laboratory tests
"Mean cHCO3(P within current admission,st)c",Feature,No,Laboratory tests
"Median cHCO3(P within current admission,st)c",Feature,No,Laboratory tests
SD of cHCO3(P within current admission,Feature,No,Laboratory tests
Had cHCO3(P within current admission (Yes/No),Feature,No,Laboratory tests
Number of cLac within current admission,Feature,No,Laboratory tests
"Maximum cLac within current admission, mmol/L",Feature,No,Laboratory tests
"Minimum cLac within current admission, mmol/L",Feature,No,Laboratory tests
"Mean cLac within current admission, mmol/L",Feature,No,Laboratory tests
"Median cLac within current admission, mmol/L",Feature,No,Laboratory tests
SD of cLac within current admission,Feature,No,Laboratory tests
Had cLac within current admission (Yes/No),Feature,No,Laboratory tests
Number of Creatinine within current admission,Feature,No,Laboratory tests
"Maximum Creatinine within current admission, umol/L",Feature,No,Laboratory tests
"Minimum Creatinine within current admission, umol/L",Feature,No,Laboratory tests
"Mean Creatinine within current admission, umol/L",Feature,No,Laboratory tests
"Median Creatinine within current admission, umol/L",Feature,No,Laboratory tests
SD of Creatinine within current admission,Feature,No,Laboratory tests
Had Creatinine within current admission (Yes/No),Feature,No,Laboratory tests
Number of D-dimer within current admission,Feature,No,Laboratory tests
"Maximum D-dimer within current admission, ug/L FEU",Feature,No,Laboratory tests
"Minimum D-dimer within current admission, ug/L FEU",Feature,No,Laboratory tests
"Mean D-dimer within current admission, ug/L FEU",Feature,No,Laboratory tests
"Median D-dimer within current admission, ug/L FEU",Feature,No,Laboratory tests
SD of D-dimer within current admission,Feature,No,Laboratory tests
Had D-dimer within current admission (Yes/No),Feature,No,Laboratory tests
Number of eGFR within current admission,Feature,No,Laboratory tests
"Maximum eGFR within current admission, ml/min/1.73m*2",Feature,No,Laboratory tests
"Minimum eGFR within current admission, ml/min/1.73m*2",Feature,No,Laboratory tests
"Mean eGFR within current admission, ml/min/1.73m*2",Feature,No,Laboratory tests
"Median eGFR within current admission, ml/min/1.73m*2",Feature,No,Laboratory tests
SD of eGFR within current admission,Feature,No,Laboratory tests
Had eGFR within current admission (Yes/No),Feature,No,Laboratory tests
Number of Eosinophils within current admission,Feature,No,Laboratory tests
"Maximum Eosinophils within current admission, x10*9/L",Feature,No,Laboratory tests
"Minimum Eosinophils within current admission, x10*9/L",Feature,No,Laboratory tests
"Mean Eosinophils within current admission, x10*9/L",Feature,No,Laboratory tests
"Median Eosinophils within current admission, x10*9/L",Feature,No,Laboratory tests
SD of Eosinophils within current admission,Feature,No,Laboratory tests
Had Eosinophils within current admission (Yes/No),Feature,No,Laboratory tests
Number of FiO2 within current admission,Feature,No,Laboratory tests
"Maximum FiO2 within current admission, %",Feature,No,Laboratory tests
"Minimum FiO2 within current admission, %",Feature,No,Laboratory tests
"Mean FiO2 within current admission, %",Feature,No,Laboratory tests
"Median FiO2 within current admission, %",Feature,No,Laboratory tests
SD of FiO2 within current admission,Feature,No,Laboratory tests
Had FiO2 within current admission (Yes/No),Feature,No,Laboratory tests
Number of Glucose within current admission,Feature,No,Laboratory tests
"Maximum Glucose within current admission, mmol/l",Feature,No,Laboratory tests
"Minimum Glucose within current admission, mmol/l",Feature,No,Laboratory tests
"Mean Glucose within current admission, mmol/l",Feature,No,Laboratory tests
"Median Glucose within current admission, mmol/l",Feature,No,Laboratory tests
SD of Glucose within current admission,Feature,No,Laboratory tests
Had Glucose within current admission (Yes/No),Feature,No,Laboratory tests
Number of Haemoglobin within current admission,Feature,No,Laboratory tests
"Maximum Haemoglobin within current admission, g/L",Feature,No,Laboratory tests
"Minimum Haemoglobin within current admission, g/L",Feature,No,Laboratory tests
"Mean Haemoglobin within current admission, g/L",Feature,No,Laboratory tests
"Median Haemoglobin within current admission, g/L",Feature,No,Laboratory tests
SD of Haemoglobin within current admission,Feature,No,Laboratory tests
Had Haemoglobin within current admission (Yes/No),Feature,No,Laboratory tests
Number of Hematocrit within current admission,Feature,No,Laboratory tests
"Maximum Hematocrit within current admission, L/L",Feature,No,Laboratory tests
"Minimum Hematocrit within current admission, L/L",Feature,No,Laboratory tests
"Mean Hematocrit within current admission, L/L",Feature,No,Laboratory tests
"Median Hematocrit within current admission, L/L",Feature,No,Laboratory tests
SD of Hematocrit within current admission,Feature,No,Laboratory tests
Had Hematocrit within current admission (Yes/No),Feature,No,Laboratory tests
Number of Hemoglobin A1c (DCCT) within current admission,Feature,No,Laboratory tests
"Maximum Hemoglobin A1c (DCCT) within current admission, %",Feature,No,Laboratory tests
"Minimum Hemoglobin A1c (DCCT) within current admission, %",Feature,No,Laboratory tests
"Mean Hemoglobin A1c (DCCT) within current admission, %",Feature,No,Laboratory tests
"Median Hemoglobin A1c (DCCT) within current admission, %",Feature,No,Laboratory tests
SD of Hemoglobin A1c (DCCT) within current admission,Feature,No,Laboratory tests
Had Hemoglobin A1c (DCCT) within current admission (Yes/No),Feature,No,Laboratory tests
Number of Immature granulocytes within current admission,Feature,No,Laboratory tests
"Maximum Immature granulocytes within current admission, x10*9/L",Feature,No,Laboratory tests
"Minimum Immature granulocytes within current admission, x10*9/L",Feature,No,Laboratory tests
"Mean Immature granulocytes within current admission, x10*9/L",Feature,No,Laboratory tests
"Median Immature granulocytes within current admission, x10*9/L",Feature,No,Laboratory tests
SD of Immature granulocytes within current admission,Feature,No,Laboratory tests
Had Immature granulocytes within current admission (Yes/No),Feature,No,Laboratory tests
Number of Ketone within current admission,Feature,No,Laboratory tests
"Maximum Ketone within current admission, mmol/L",Feature,No,Laboratory tests
"Minimum Ketone within current admission, mmol/L",Feature,No,Laboratory tests
"Mean Ketone within current admission, mmol/L",Feature,No,Laboratory tests
"Median Ketone within current admission, mmol/L",Feature,No,Laboratory tests
SD of Ketone within current admission,Feature,No,Laboratory tests
Had Ketone within current admission (Yes/No),Feature,No,Laboratory tests
Number of Lymphocytes within current admission,Feature,No,Laboratory tests
"Maximum Lymphocytes within current admission, x10*9/L",Feature,No,Laboratory tests
"Minimum Lymphocytes within current admission, x10*9/L",Feature,No,Laboratory tests
"Mean Lymphocytes within current admission, x10*9/L",Feature,No,Laboratory tests
"Median Lymphocytes within current admission, x10*9/L",Feature,No,Laboratory tests
SD of Lymphocytes within current admission,Feature,No,Laboratory tests
Had Lymphocytes within current admission (Yes/No),Feature,No,Laboratory tests
Number of Mean corpuscular volume within current admission,Feature,No,Laboratory tests
"Maximum Mean corpuscular volume within current admission, fL",Feature,No,Laboratory tests
"Minimum Mean corpuscular volume within current admission, fL",Feature,No,Laboratory tests
"Mean Mean corpuscular volume within current admission, fL",Feature,No,Laboratory tests
"Median Mean corpuscular volume within current admission, fL",Feature,No,Laboratory tests
SD of Mean corpuscular volume within current admission,Feature,No,Laboratory tests
Had Mean corpuscular volume within current admission (Yes/No),Feature,No,Laboratory tests
Number of Monocytes within current admission,Feature,No,Laboratory tests
"Maximum Monocytes within current admission, x10*9/L",Feature,No,Laboratory tests
"Minimum Monocytes within current admission, x10*9/L",Feature,No,Laboratory tests
"Mean Monocytes within current admission, x10*9/L",Feature,No,Laboratory tests
"Median Monocytes within current admission, x10*9/L",Feature,No,Laboratory tests
SD of Monocytes within current admission,Feature,No,Laboratory tests
Had Monocytes within current admission (Yes/No),Feature,No,Laboratory tests
Number of Neutrophils within current admission,Feature,No,Laboratory tests
"Maximum Neutrophils within current admission, x10*9/L",Feature,No,Laboratory tests
"Minimum Neutrophils within current admission, x10*9/L",Feature,No,Laboratory tests
"Mean Neutrophils within current admission, x10*9/L",Feature,No,Laboratory tests
"Median Neutrophils within current admission, x10*9/L",Feature,No,Laboratory tests
SD of Neutrophils within current admission,Feature,No,Laboratory tests
Had Neutrophils within current admission (Yes/No),Feature,No,Laboratory tests
Number of PCO2 within current admission,Feature,No,Laboratory tests
"Maximum PCO2 within current admission, kPa",Feature,No,Laboratory tests
"Minimum PCO2 within current admission, kPa",Feature,No,Laboratory tests
"Mean PCO2 within current admission, kPa",Feature,No,Laboratory tests
"Median PCO2 within current admission, kPa",Feature,No,Laboratory tests
SD of PCO2 within current admission,Feature,No,Laboratory tests
Had PCO2 within current admission (Yes/No),Feature,No,Laboratory tests
Number of Phosphate within current admission,Feature,No,Laboratory tests
"Maximum Phosphate within current admission, mmol/L",Feature,No,Laboratory tests
"Minimum Phosphate within current admission, mmol/L",Feature,No,Laboratory tests
"Mean Phosphate within current admission, mmol/L",Feature,No,Laboratory tests
"Median Phosphate within current admission, mmol/L",Feature,No,Laboratory tests
SD of Phosphate within current admission,Feature,No,Laboratory tests
Had Phosphate within current admission (Yes/No),Feature,No,Laboratory tests
Number of Platelets within current admission,Feature,No,Laboratory tests
"Maximum Platelets within current admission, x10*9/L",Feature,No,Laboratory tests
"Minimum Platelets within current admission, x10*9/L",Feature,No,Laboratory tests
"Mean Platelets within current admission, x10*9/L",Feature,No,Laboratory tests
"Median Platelets within current admission, x10*9/L",Feature,No,Laboratory tests
SD of Platelets within current admission,Feature,No,Laboratory tests
Had Platelets within current admission (Yes/No),Feature,No,Laboratory tests
Number of PO2 within current admission,Feature,No,Laboratory tests
"Maximum PO2 within current admission, kPa",Feature,No,Laboratory tests
"Minimum PO2 within current admission, kPa",Feature,No,Laboratory tests
"Mean PO2 within current admission, kPa",Feature,No,Laboratory tests
"Median PO2 within current admission, kPa",Feature,No,Laboratory tests
SD of PO2 within current admission,Feature,No,Laboratory tests
Had PO2 within current admission (Yes/No),Feature,No,Laboratory tests
Number of Potassium within current admission,Feature,No,Laboratory tests
"Maximum Potassium within current admission, mmol/L",Feature,No,Laboratory tests
"Minimum Potassium within current admission, mmol/L",Feature,No,Laboratory tests
"Mean Potassium within current admission, mmol/L",Feature,No,Laboratory tests
"Median Potassium within current admission, mmol/L",Feature,No,Laboratory tests
SD of Potassium within current admission,Feature,No,Laboratory tests
Had Potassium within current admission (Yes/No),Feature,No,Laboratory tests
Number of Prothrombin time within current admission,Feature,No,Laboratory tests
"Maximum Prothrombin time within current admission, seconds",Feature,No,Laboratory tests
"Minimum Prothrombin time within current admission, seconds",Feature,No,Laboratory tests
"Mean Prothrombin time within current admission, seconds",Feature,No,Laboratory tests
"Median Prothrombin time within current admission, seconds",Feature,No,Laboratory tests
SD of Prothrombin time within current admission,Feature,No,Laboratory tests
Had Prothrombin time within current admission (Yes/No),Feature,No,Laboratory tests
Number of Sodium within current admission,Feature,No,Laboratory tests
"Maximum Sodium within current admission, mmol/L",Feature,No,Laboratory tests
"Minimum Sodium within current admission, mmol/L",Feature,No,Laboratory tests
"Mean Sodium within current admission, mmol/L",Feature,No,Laboratory tests
"Median Sodium within current admission, mmol/L",Feature,No,Laboratory tests
SD of Sodium within current admission,Feature,No,Laboratory tests
Had Sodium within current admission (Yes/No),Feature,No,Laboratory tests
Number of Urea within current admission,Feature,No,Laboratory tests
"Maximum Urea within current admission, mmol/L",Feature,No,Laboratory tests
"Minimum Urea within current admission, mmol/L",Feature,No,Laboratory tests
"Mean Urea within current admission, mmol/L",Feature,No,Laboratory tests
"Median Urea within current admission, mmol/L",Feature,No,Laboratory tests
SD of Urea within current admission,Feature,No,Laboratory tests
Had Urea within current admission (Yes/No),Feature,No,Laboratory tests
Number of White cell count within current admission,Feature,No,Laboratory tests
"Maximum White cell count within current admission, x10*9/L",Feature,No,Laboratory tests
"Minimum White cell count within current admission, x10*9/L",Feature,No,Laboratory tests
"Mean White cell count within current admission, x10*9/L",Feature,No,Laboratory tests
"Median White cell count within current admission, x10*9/L",Feature,No,Laboratory tests
SD of White cell count within current admission,Feature,No,Laboratory tests
Had White cell count within current admission (Yes/No),Feature,No,Laboratory tests
"Time elapsed since most recent positive urine culture before index date, hour",Feature,No,Blood cultures
Number of positive urine culture within 24 hours before index date,Feature,No,Blood cultures
Positive urine culture tested within 24 hours before index date (Yes/No),Feature,No,Blood cultures
Number of positive urine culture within 48 hours before index date,Feature,No,Blood cultures
Positive urine culture tested within 48 hours before index date (Yes/No),Feature,No,Blood cultures
Number of positive urine culture within 8760 hours before index date,Feature,No,Blood cultures
Positive urine culture tested within 8760 hours before index date (Yes/No),Feature,No,Blood cultures
"Time elapsed since most recent positive blood culture before index date, hour",Feature,No,Blood cultures
Number of positive blood culture within 24 hours before index date,Feature,No,Blood cultures
Positive blood culture tested within 24 hours before index date (Yes/No),Feature,No,Blood cultures
Number of positive blood culture within 48 hours before index date,Feature,No,Blood cultures
Positive blood culture tested within 48 hours before index date (Yes/No),Feature,No,Blood cultures
Number of positive blood culture within 8760 hours before index date,Feature,No,Blood cultures
Positive blood culture tested within 8760 hours before index date (Yes/No),Feature,No,Blood cultures
"Time elapsed since most recent tested Staphylococcus aureus before index date, hour",Feature,No,Other microbiology tests
Number of tested Staphylococcus aureus within 24 hours before index date,Feature,No,Other microbiology tests
Staphylococcus aureus tested within 24 hours before index date (Yes/No),Feature,No,Other microbiology tests
Number of tested Staphylococcus aureus within 48 hours before index date,Feature,No,Other microbiology tests
Staphylococcus aureus tested within 48 hours before index date (Yes/No),Feature,No,Other microbiology tests
Number of tested Staphylococcus aureus within 8760 hours before index date,Feature,No,Other microbiology tests
Staphylococcus aureus tested within 8760 hours before index date (Yes/No),Feature,No,Other microbiology tests
"Time elapsed since most recent tested Enterococcus before index date, hour",Feature,No,Other microbiology tests
Number of tested Enterococcus within 24 hours before index date,Feature,No,Other microbiology tests
Enterococcus tested within 24 hours before index date (Yes/No),Feature,No,Other microbiology tests
Number of tested Enterococcus within 48 hours before index date,Feature,No,Other microbiology tests
Enterococcus tested within 48 hours before index date (Yes/No),Feature,No,Other microbiology tests
Number of tested Enterococcus within 8760 hours before index date,Feature,No,Other microbiology tests
Enterococcus tested within 8760 hours before index date (Yes/No),Feature,No,Other microbiology tests
"Time elapsed since most recent tested ESBL/CPE before index date, hour",Feature,No,Other microbiology tests
Number of tested ESBL/CPE within 24 hours before index date,Feature,No,Other microbiology tests
ESBL/CPE tested within 24 hours before index date (Yes/No),Feature,No,Other microbiology tests
Number of tested ESBL/CPE within 48 hours before index date,Feature,No,Other microbiology tests
ESBL/CPE tested within 48 hours before index date (Yes/No),Feature,No,Other microbiology tests
Number of tested ESBL/CPE within 8760 hours before index date,Feature,No,Other microbiology tests
ESBL/CPE tested within 8760 hours before index date (Yes/No),Feature,No,Other microbiology tests
"Time elapsed since most recent antibiotics prescription 365 days before index date, hour",Feature,No,Antibiotic use
Had antibiotics use 365 days before index date (Yes/No),Feature,No,Antibiotic use
Number of antibiotics prescription within 24 hours before index date,Feature,No,Antibiotic use
Antibiotics prescription within 24 hours before index date (Yes/No),Feature,No,Antibiotic use
Number of antibiotics prescription within 48 hours before index date,Feature,No,Antibiotic use
Antibiotics prescription within 48 hours before index date (Yes/No),Feature,No,Antibiotic use
New antibiotics prescribed 24 hours before index date (Yes/No),Feature,No,Antibiotic use
Diagnosis of meningitis and encephalitis within 24 hours before index date (Yes/No),Feature,No,Specific comorbidities
Diagnosis of respiratory failure and arrest within 24 hours before index date (Yes/No),Feature,No,Specific comorbidities
